gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-let-7a-2-3p,0,NA,NA,NA,NA,NA
hsa-let-7a-3p,0,NA,NA,NA,NA,NA
hsa-let-7a-5p,5.10036033135997,-0.0386211093387325,0.307821921347425,-0.1254657536074,0.900154835425075,0.999518452987832
hsa-let-7b-3p,0,NA,NA,NA,NA,NA
hsa-let-7b-5p,26.7472490921993,-0.755165415528867,0.166600863129553,-4.5327821317566,5.82118477852273e-06,0.000422035896442898
hsa-let-7c-3p,0,NA,NA,NA,NA,NA
hsa-let-7c-5p,1.03672646038125,-0.770400465731923,0.58580190276095,-1.3151211392468,0.18846919315122,0.999518452987832
hsa-let-7d-3p,0.00733160267115936,-0.351136525332186,2.92178699784749,-0.120178687081184,0.904341600643231,0.999518452987832
hsa-let-7d-5p,0.145110669402198,0.299269142031756,2.91847242666319,0.102543076747147,0.918325622732243,0.999518452987832
hsa-let-7e-3p,0,NA,NA,NA,NA,NA
hsa-let-7e-5p,0.0996106714147049,-0.389775247776432,2.92103478622643,-0.133437386509172,0.893847479608121,0.999518452987832
hsa-let-7f-1-3p,0,NA,NA,NA,NA,NA
hsa-let-7f-2-3p,0,NA,NA,NA,NA,NA
hsa-let-7f-5p,1.14097078929442,0.495907955760739,0.532202381333166,0.93180333864439,0.351438168925288,0.999518452987832
hsa-let-7g-3p,0,NA,NA,NA,NA,NA
hsa-let-7g-5p,0.282516562593299,-0.43612916614186,1.86787055943913,-0.233490037057395,0.815380905061734,0.999518452987832
hsa-let-7i-3p,0.00456072017177229,-0.348020269397867,2.92226119916006,-0.119092800293792,0.905201834682635,0.999518452987832
hsa-let-7i-5p,2.73302951908647,0.0125068910213814,0.352788945477416,0.0354514822012245,0.971719733627015,0.999518452987832
hsa-miR-1,0,NA,NA,NA,NA,NA
hsa-miR-100-3p,0,NA,NA,NA,NA,NA
hsa-miR-100-5p,0.00185941707156199,-0.343312794977585,2.92230536469243,-0.117480123441418,0.906479594160861,0.999518452987832
